115.0 0
9 4 4
4 4 4
9 4 4
11 4 4
9 4 8
4 5 4
2 5 8
1 5 4
11 4 8
9 4 8
8 4 8
9 4 4
4 4 4
9 4 4
11 4 4
9 4 8
6 5 4
4 5 8
1 5 4
11 4 4
9 4 4
9 4 4
8 4 4
9 4 4
11 4 4
9 4 4
4 4 4
9 4 4
11 4 4
9 4 8
4 5 4
2 5 8
1 5 4
11 4 8
9 4 4
9 4 4
0 0 8
4 5 8
4 5 8
4 5 8
4 5 8
4 5 8
2 5 8
1 5 8
2 5 8
4 5 8
4 5 8
4 5 8
4 5 8
4 5 8
2 5 8
1 5 8
2 5 8
1 5 12
9 4 4
9 4 8
0 0 4
1 5 8
1 5 4
11 4 8
9 4 8
11 4 8
1 5 12
9 4 4
9 4 8
0 0 4
1 5 8
1 5 4
11 4 4
11 4 4
9 4 12
0 0 4
4 5 8
4 5 8
4 5 8
4 5 8
4 5 8
2 5 8
1 5 8
2 5 8
4 5 8
4 5 8
4 5 8
4 5 8
6 5 8
9 5 8
8 5 8
9 5 8
4 5 12
9 4 4
9 4 8
0 0 4
1 5 8
1 5 4
11 4 8
9 4 8
11 4 8
1 5 12
9 4 4
9 4 8
1 5 4
11 4 4
9 4 8
11 4 8
1 5 8
2 5 8
4 5 4
4 5 4
4 5 4
4 5 4
4 5 4
4 5 4
4 5 4
9 5 8
8 5 4
8 5 4
6 5 8
8 5 8
4 5 4
4 5 12
6 5 4
6 5 8
0 0 4
8 5 4
8 5 12
4 5 4
4 5 8
0 0 8
4 5 4
4 5 4
4 5 4
4 5 4
6 5 4
4 5 4
4 5 4
9 5 4
0 0 4
9 5 4
8 5 4
8 5 4
6 5 4
6 5 4
8 5 4
4 5 4
4 5 12
6 5 4
4 5 12
0 0 4
4 5 4
6 5 4
4 5 4
6 5 4
8 5 4
9 5 4
8 5 8
9 5 8
8 5 8
6 5 8
8 5 22
0 0 18
8 5 8
6 5 8
1 5 8
8 5 8
6 5 8
1 5 8
6 5 4
8 5 8
10 5 12
8 5 4
6 5 8
1 5 8
1 5 4
1 5 8
6 5 8
5 5 8
6 5 8
8 5 8
6 5 8
1 5 8
8 5 8
6 5 8
1 5 8
1 5 4
11 4 4
10 4 4
11 4 4
1 5 8
3 5 8
5 5 8
6 5 8
11 5 12
10 5 4
10 5 8
0 0 8
8 5 8
6 5 8
1 5 8
8 5 8
6 5 8
1 5 8
6 5 4
8 5 8
10 5 12
8 5 4
6 5 8
1 5 8
1 5 4
11 5 8
10 5 8
8 5 8
6 5 8
8 5 4
8 5 4
6 5 4
6 5 4
6 5 8
8 5 8
8 5 12
6 5 4
6 5 8
0 0 8
10 5 4
10 5 4
8 5 4
1 6 4
10 5 8
8 5 8
6 5 8
8 5 8
10 5 8
0 0 8
10 5 4
10 5 4
8 5 4
1 6 4
10 5 8
8 5 8
10 5 8
8 5 8
6 5 8
0 0 8
10 5 4
10 5 4
8 5 4
1 6 4
10 5 8
8 5 8
6 5 8
8 5 8
10 5 8
0 0 8
10 5 4
10 5 4
8 5 4
1 6 4
10 5 8
8 5 8
10 5 8
8 5 8
6 5 8
0 0 8
10 5 4
10 5 4
8 5 4
1 6 4
10 5 8
8 5 4
8 5 4
6 5 8
8 5 8
10 5 8
0 0 8
10 5 4
10 5 4
8 5 4
10 5 4
8 5 8
1 6 8
10 5 8
8 5 8
6 5 8
0 0 8
10 5 4
10 5 4
8 5 4
11 5 4
10 5 8
8 5 4
8 5 4
6 5 4
3 6 4
1 6 53
0 0 2
6 4 16
8 4 16
8 5 16
10 5 76
0 0 4
