55.0 0
0 0 5
0 5 2
4 5 5
0 5 8
0 5 2
4 5 8
0 0 5
9 4 2
0 5 5
9 4 8
9 4 2
0 5 8
0 0 5
5 4 2
9 4 5
5 4 8
5 4 2
9 4 8
0 0 5
7 4 2
11 4 5
7 4 8
7 4 2
7 4 2
9 4 2
11 4 2
2 5 5
4 5 5
0 5 11
0 5 2
4 5 8
0 0 5
9 6 8
9 5 2
11 6 5
9 5 2
9 6 8
5 6 5
5 4 2
9 4 5
5 4 8
5 4 2
9 4 8
0 0 5
7 4 2
11 4 5
7 4 8
7 4 2
7 4 2
9 4 2
11 4 2
2 5 8
5 5 1
7 5 4
0 0 0
7 5 14
0 0 2
5 5 2
4 5 5
5 5 2
7 5 5
4 5 6
0 5 9
2 5 2
4 5 5
0 5 2
7 4 8
7 7 8
7 6 5
9 4 2
7 4 5
11 4 8
2 5 2
4 5 5
5 5 2
2 5 8
0 0 8
5 5 1
7 5 4
0 0 0
7 5 14
0 0 2
5 5 2
4 5 5
7 5 2
0 6 5
9 5 6
5 5 9
4 5 2
2 5 5
4 5 2
5 5 8
2 7 8
4 7 5
4 5 8
5 5 2
7 5 8
0 0 5
7 4 2
7 4 2
9 4 2
11 4 2
2 5 5
4 5 5
0 5 11
0 5 2
4 5 8
0 0 5
9 4 2
0 5 5
9 4 8
9 4 2
0 5 8
0 0 5
5 4 2
9 4 5
5 4 8
5 4 2
9 4 8
0 0 5
7 4 2
11 4 5
7 4 8
7 4 2
7 4 2
9 4 2
11 4 2
2 5 5
4 5 5
0 5 11
0 5 2
4 5 8
0 0 5
9 6 8
9 5 2
11 6 5
9 5 2
9 6 8
5 6 5
5 4 2
9 4 5
5 4 8
5 4 2
9 4 8
0 0 5
7 4 2
11 4 5
7 4 8
7 4 2
7 4 2
9 4 2
11 4 2
2 5 8
5 5 1
7 5 4
0 0 0
7 5 6
5 5 9
4 5 2
0 5 5
1 5 2
0 0 4
0 0 2
5 5 6
5 5 4
5 5 1
0 0 0
6 5 1
7 5 9
7 5 8
0 0 8
2 5 5
4 5 2
0 0 16
0 0 5
9 5 2
7 5 5
4 5 6
7 4 9
9 4 2
0 5 5
9 4 2
2 5 5
0 5 8
7 4 2
7 4 2
9 4 2
11 4 2
2 5 8
5 5 1
7 5 4
0 0 0
7 5 6
5 5 9
4 5 2
0 5 5
1 5 2
0 0 4
0 0 2
5 5 6
5 5 4
5 5 1
0 0 0
6 5 1
7 5 9
7 5 8
0 0 8
2 5 5
4 5 2
0 0 16
0 0 5
9 5 2
7 5 5
4 5 6
7 4 9
9 4 2
0 5 5
9 4 2
2 5 5
0 5 8
7 4 2
7 4 2
9 4 2
11 4 2
2 5 8
5 5 1
7 5 4
0 0 0
7 5 14
0 0 2
5 5 2
4 5 5
5 5 2
7 5 5
4 5 6
0 5 9
2 5 2
4 5 5
0 5 2
7 4 8
7 7 8
7 6 5
9 4 2
7 4 5
11 4 8
2 5 2
4 5 5
5 5 2
2 5 8
0 0 8
5 5 1
7 5 4
0 0 0
7 5 14
0 0 2
5 5 2
4 5 5
7 5 2
0 6 5
9 5 6
5 5 9
4 5 2
2 5 5
4 5 2
5 5 8
2 7 8
4 7 5
4 5 8
5 5 2
7 5 8
0 0 5
7 4 2
7 4 2
9 4 2
11 4 2
2 5 5
4 5 5
0 5 11
0 5 2
4 5 8
0 0 5
9 4 2
0 5 5
9 4 8
9 4 2
0 5 8
0 0 5
5 4 2
9 4 5
5 4 8
5 4 2
9 4 8
0 0 5
7 4 2
11 4 5
7 4 8
7 4 2
7 4 2
9 4 2
11 4 2
2 5 5
4 5 5
0 5 13
0 0 8
