50.0 0
5 4 4
3 4 4
8 4 4
0 0 4
8 4 8
10 4 4
0 0 4
10 4 8
0 5 4
0 0 4
8 4 8
3 4 4
0 0 4
5 4 4
3 4 4
8 4 4
0 0 4
8 4 8
10 4 4
10 4 4
8 4 4
0 0 4
0 0 8
0 0 16
5 4 4
3 4 4
8 4 8
8 4 4
0 0 4
10 4 8
10 4 8
0 5 8
8 4 8
3 4 4
0 0 4
5 4 4
3 4 4
8 4 4
0 0 4
8 4 8
10 4 8
10 4 8
0 5 8
10 4 8
0 0 8
5 4 4
3 4 4
8 4 4
0 0 4
8 4 8
10 4 4
0 0 4
10 4 8
0 5 8
8 4 8
3 4 8
5 4 4
3 4 4
8 4 8
8 4 8
10 4 8
8 4 4
0 0 4
0 0 8
0 0 16
1 5 4
0 5 4
8 4 4
5 4 8
8 4 4
10 4 4
5 4 4
8 4 4
0 0 4
3 4 8
5 4 8
8 4 4
0 0 4
1 5 4
0 5 4
8 4 4
5 4 8
8 4 4
10 4 4
5 4 4
8 4 4
0 0 4
0 0 8
0 0 16
1 5 4
0 5 4
8 4 4
5 4 8
8 4 4
10 4 4
5 4 4
8 4 4
0 0 4
3 4 8
5 4 8
8 4 8
3 4 12
8 4 4
1 4 12
1 4 4
0 0 16
10 3 4
3 4 4
8 4 4
10 4 4
10 4 8
8 4 4
5 4 4
0 0 4
8 4 4
10 4 4
0 5 4
3 5 4
10 4 4
0 5 8
8 4 4
3 4 4
8 4 4
10 4 4
10 4 8
8 4 4
5 4 8
10 4 4
8 4 4
3 5 4
0 5 4
0 0 4
0 0 8
10 3 4
3 4 4
8 4 4
10 4 4
10 4 8
8 4 4
5 4 8
8 4 4
10 4 4
0 5 4
3 5 4
10 4 4
0 5 4
0 0 4
8 4 8
7 4 8
5 4 8
0 0 4
5 4 4
7 4 8
8 4 4
7 4 8
8 4 4
0 0 4
0 0 4
10 3 4
3 4 4
8 4 4
10 4 4
10 4 8
8 4 4
5 4 8
8 4 4
10 4 4
0 5 4
3 5 4
10 4 4
0 5 8
8 4 4
3 4 4
8 4 4
10 4 4
10 4 8
8 4 4
5 4 8
10 4 4
8 4 4
3 5 4
0 5 4
0 0 4
0 0 8
10 3 4
3 4 4
8 4 4
10 4 4
10 4 8
8 4 4
5 4 8
8 4 4
10 4 4
0 5 4
3 5 4
10 4 4
0 5 4
0 0 4
8 4 8
7 4 8
5 4 8
0 0 8
7 4 8
8 4 4
7 4 8
8 4 8
0 0 4
0 0 16
