60.0 0
2 5 8
2 5 4
2 5 4
0 5 8
2 5 8
0 5 8
9 4 4
5 4 4
7 4 8
2 4 4
0 4 4
5 4 4
0 0 4
7 4 4
0 0 4
9 4 4
0 0 4
0 5 4
0 0 4
2 5 12
2 5 4
0 5 16
0 5 4
0 5 8
2 5 4
0 5 6
10 4 2
9 4 4
7 4 4
5 4 12
7 4 4
0 4 8
0 0 4
0 4 4
2 4 8
0 4 8
5 4 6
9 4 2
0 5 6
9 4 2
2 5 22
0 0 10
0 5 12
2 5 4
0 5 8
9 4 6
5 4 2
7 4 8
9 4 4
0 5 4
7 4 8
0 0 8
0 5 4
0 5 8
2 5 4
0 5 6
10 4 2
9 4 4
7 4 4
5 4 6
5 4 2
5 4 4
9 4 4
0 4 8
0 0 8
2 4 8
0 4 4
0 4 4
5 4 6
9 4 2
0 5 4
2 5 4
9 4 22
0 0 10
0 5 4
0 5 8
2 5 4
0 5 12
9 4 4
7 4 8
9 4 4
2 5 4
0 5 12
0 0 4
9 4 6
0 0 2
9 4 6
9 4 2
9 4 4
9 4 8
9 4 4
7 4 6
9 4 2
7 4 4
5 4 4
2 4 8
0 0 4
0 4 4
5 4 6
9 4 2
0 5 4
2 5 4
0 5 8
0 0 8
7 4 6
9 4 2
7 4 4
5 4 4
7 4 8
0 0 4
0 4 4
9 4 6
9 4 2
9 4 4
9 4 4
7 4 8
9 4 8
7 4 6
9 4 2
7 4 4
5 4 4
2 4 8
0 0 4
0 4 4
0 5 6
0 5 2
0 5 4
0 5 4
2 5 8
2 5 4
2 5 4
0 5 8
7 4 8
0 5 16
2 5 6
2 5 2
0 5 4
2 5 4
9 4 8
0 0 8
7 4 6
0 5 2
9 4 4
5 4 4
7 4 8
0 0 8
0 4 4
0 0 4
5 4 4
0 0 4
0 5 4
0 0 4
9 4 4
0 0 4
7 4 4
7 4 4
2 5 8
0 5 8
0 0 8
2 5 8
2 5 4
2 5 4
0 5 8
2 5 8
0 5 8
9 4 4
5 4 4
7 4 8
2 4 4
0 4 4
5 4 4
0 0 4
7 4 4
0 0 4
9 4 4
0 0 4
0 5 4
0 0 4
2 5 12
2 5 4
0 5 16
2 5 8
2 5 4
2 5 4
0 5 8
2 5 8
0 5 8
9 4 4
5 4 4
7 4 8
2 4 4
0 4 4
5 4 4
0 0 4
7 4 4
0 0 4
9 4 4
0 0 4
0 5 4
0 0 4
2 5 12
2 5 4
0 5 16
0 5 4
0 5 8
2 5 4
0 5 6
10 4 2
9 4 4
7 4 4
5 4 12
7 4 4
0 4 8
0 0 4
0 4 4
2 4 8
0 4 8
5 4 6
9 4 2
0 5 6
9 4 2
2 5 22
0 0 10
0 5 12
2 5 4
0 5 8
9 4 6
5 4 2
7 4 8
9 4 4
0 5 4
7 4 8
0 0 8
0 5 4
0 5 8
2 5 4
0 5 6
10 4 2
9 4 4
7 4 4
5 4 6
5 4 2
5 4 4
9 4 4
0 4 8
0 0 8
2 4 8
0 4 4
0 4 4
5 4 6
9 4 2
0 5 4
2 5 4
9 4 22
0 0 10
0 5 4
0 5 8
2 5 4
0 5 12
9 4 4
7 4 8
9 4 4
2 5 4
0 5 12
0 0 4
9 4 6
0 0 2
9 4 6
9 4 2
9 4 4
9 4 8
9 4 4
7 4 6
9 4 2
7 4 4
5 4 4
2 4 8
0 0 4
0 4 4
5 4 6
9 4 2
0 5 4
2 5 4
0 5 8
0 0 8
7 4 6
9 4 2
7 4 4
5 4 4
7 4 8
0 0 4
0 4 4
9 4 6
9 4 2
9 4 4
9 4 4
7 4 8
9 4 8
7 4 6
9 4 2
7 4 4
5 4 4
2 4 8
0 0 4
0 4 4
0 5 6
0 5 2
0 5 4
0 5 4
2 5 8
2 5 4
2 5 4
0 5 8
7 4 8
0 5 16
2 5 6
2 5 2
0 5 4
2 5 4
9 4 8
0 0 8
7 4 6
0 5 2
9 4 4
5 4 4
7 4 8
0 0 8
0 4 4
0 0 4
5 4 4
0 0 4
0 5 4
0 0 4
9 4 4
0 0 4
7 4 4
7 4 4
2 5 8
0 5 8
0 0 8
2 5 8
2 5 4
2 5 4
0 5 8
2 5 8
0 5 8
9 4 4
5 4 4
7 4 8
2 4 4
0 4 4
5 4 4
0 0 4
7 4 4
0 0 4
9 4 4
0 0 4
0 5 4
0 0 4
2 5 22
0 0 2
2 5 8
0 5 30
