# Converted from https://musescore.com/user/76963843/scores/19868371
60 0
8 4 2
6 4 2
3 5 4
3 5 4
1 5 4
4 5 4
3 5 4
1 5 4
1 5 4
1 5 4
11 4 2
11 4 2
4 5 4
3 5 4
1 5 4
1 5 8
11 4 2
1 5 2
3 5 24
3 5 4
6 5 4
11 5 4
10 5 8
11 5 4
10 5 8
11 5 4
10 5 4
6 5 8
6 5 4
1 5 4
4 5 4
4 5 8
3 5 4
3 5 8
6 4 4
4 5 4
3 5 4
1 5 4
3 5 8
6 5 4
11 4 16
0 0 4
11 4 4
1 5 4
11 4 8
11 4 4
6 5 4
11 4 4
4 5 8
3 5 4
1 5 8
11 4 4
11 4 16
0 0 4
11 4 2
1 5 2
3 5 4
3 5 4
1 5 4
4 5 4
3 5 4
1 5 4
1 5 4
1 5 4
11 4 4
4 5 4
3 5 4
1 5 4
1 5 8
11 4 2
1 5 2
3 5 24
3 5 4
6 5 4
11 5 4
10 5 8
11 5 4
10 5 8
11 5 4
10 5 2
8 5 2
6 5 8
6 5 4
1 5 4
4 5 4
4 5 4
3 5 4
3 5 4
3 5 8
6 4 4
4 5 4
3 5 4
1 5 4
3 5 8
6 5 4
11 4 16
0 0 4
11 4 4
1 5 4
11 4 8
11 4 4
6 5 4
11 4 4
4 5 4
4 5 2
4 5 2
3 5 2
1 5 2
1 5 8
11 4 4
11 4 24
8 5 4
6 5 4
6 5 4
6 5 4
4 5 4
4 5 4
3 5 8
1 5 12
6 5 4
6 5 4
4 5 2
4 5 2
4 5 4
3 5 4
1 5 4
1 5 4
1 5 8
11 4 2
10 4 2
11 4 12
8 5 4
6 5 4
6 5 4
6 5 4
4 5 4
4 5 4
3 5 8
1 5 12
1 5 4
3 5 4
3 5 2
3 5 2
3 5 2
3 5 2
3 5 4
1 5 4
3 5 2
0 6 2
1 6 8
11 5 4
11 5 8
11 5 4
10 5 8
8 5 4
8 5 20
8 5 4
8 5 4
6 5 4
1 5 2
3 5 2
4 5 12
3 5 2
4 5 2
