50.0 0
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
10 5 8
0 6 8
8 5 8
3 5 8
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
10 5 8
0 6 8
8 5 16
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
10 5 8
0 6 8
8 5 8
3 5 8
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
8 5 32
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
10 5 8
0 6 8
8 5 8
3 5 8
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
10 5 8
0 6 8
10 5 16
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
10 5 8
0 6 8
8 5 8
3 5 8
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
8 5 32
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
10 5 8
0 6 8
8 5 8
3 5 8
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
10 5 8
0 6 8
10 5 16
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
10 5 8
0 6 8
8 5 8
3 5 8
5 5 4
3 5 4
8 5 8
8 5 8
10 5 8
8 5 32
1 6 4
0 6 4
8 5 4
5 5 4
5 5 4
8 5 4
10 5 4
5 5 4
8 5 8
3 5 8
5 5 8
8 5 8
1 6 4
0 6 4
8 5 4
5 5 4
5 5 4
8 5 4
10 5 4
5 5 4
8 5 32
1 6 4
0 6 4
8 5 4
5 5 4
5 5 4
8 5 4
10 5 4
5 5 4
8 5 8
3 5 8
5 5 8
8 5 8
3 5 12
8 5 4
1 5 12
1 5 4
3 5 4
1 5 4
3 5 4
1 5 4
10 4 4
3 5 4
8 5 4
10 5 4
10 5 8
8 5 4
5 5 4
5 5 4
8 5 4
10 5 4
0 6 4
3 6 4
10 5 4
0 6 8
8 5 4
3 5 4
8 5 4
10 5 4
10 5 8
8 5 4
5 5 4
5 5 4
10 5 4
8 5 4
3 6 4
0 6 16
0 0 4
3 5 4
8 5 4
10 5 4
10 5 8
8 5 4
5 5 4
5 5 4
8 5 4
10 5 4
0 6 4
3 6 4
10 5 4
0 6 8
8 5 8
7 5 8
5 5 16
7 5 8
8 5 4
7 5 4
7 5 4
8 5 12
0 0 4
3 5 4
8 5 4
10 5 4
10 5 8
8 5 4
5 5 4
5 5 4
8 5 4
10 5 4
0 6 4
3 6 4
10 5 4
0 6 8
8 5 4
3 5 4
8 5 4
10 5 4
10 5 8
8 5 4
5 5 4
5 5 4
10 5 4
8 5 4
3 6 4
0 6 16
0 0 4
3 5 4
8 5 4
10 5 4
10 5 8
8 5 4
5 5 4
5 5 4
8 5 4
10 5 4
0 6 4
3 6 4
10 5 4
0 6 8
8 5 8
7 5 8
5 5 16
7 5 8
8 5 4
7 5 4
7 5 8
8 5 16
0 0 8
