60.0 0
5 4 4
0 5 4
5 4 4
2 5 4
5 4 4
5 5 4
4 5 4
2 5 4
5 4 4
0 5 4
5 4 4
2 5 4
5 4 4
9 4 4
10 4 4
0 5 4
5 4 4
0 5 4
5 4 4
2 5 4
5 4 4
5 5 4
4 5 4
2 5 4
5 4 4
0 5 4
5 4 4
2 5 4
5 4 4
9 4 4
10 4 4
0 5 4
5 4 4
0 5 4
5 4 4
2 5 4
5 4 4
5 5 4
4 5 4
2 5 4
5 4 4
0 5 4
5 4 4
2 5 4
5 4 4
9 4 4
10 4 4
0 5 4
5 4 4
0 5 4
5 4 4
2 5 4
5 4 4
5 5 4
4 5 4
2 5 4
5 4 4
0 5 4
5 4 4
2 5 14
5 4 1
7 4 2
9 4 1
10 4 2
0 5 8
5 4 8
4 4 8
2 5 4
0 5 8
10 4 8
9 4 8
5 4 4
7 4 4
0 4 4
5 4 8
10 3 8
4 4 4
5 4 4
7 4 4
9 4 8
7 4 8
5 4 8
7 4 8
9 4 4
0 5 8
5 4 8
4 4 8
2 5 4
0 5 8
10 4 8
9 4 8
5 4 4
7 4 4
0 4 4
5 4 8
10 3 8
4 4 4
5 4 4
7 4 4
9 4 8
7 4 8
5 4 18
0 0 2
9 3 8
9 4 4
10 4 4
9 4 4
5 4 12
9 4 4
10 4 4
9 4 4
5 4 12
0 5 1
7 4 1
4 4 1
0 4 1
7 3 1
4 3 1
0 4 10
9 4 4
10 4 4
9 4 4
5 4 8
5 4 4
9 4 4
0 5 8
0 5 12
0 5 1
7 4 1
4 4 1
0 4 1
7 3 1
4 3 1
0 4 10
9 4 4
10 4 4
9 4 4
5 4 12
9 4 4
10 4 4
9 4 4
5 4 12
0 5 1
7 4 1
4 4 1
0 4 1
7 3 1
4 3 1
0 4 10
9 4 4
10 4 4
9 4 4
5 4 12
0 5 8
10 4 8
9 4 8
7 4 8
0 0 8
2 4 4
5 4 8
7 4 8
2 4 8
5 4 8
7 4 8
4 5 4
4 5 6
2 5 2
0 5 8
2 4 4
5 4 8
7 4 8
9 4 8
5 4 8
4 4 8
4 5 4
5 5 4
7 5 4
0 5 8
2 4 4
5 4 8
7 4 8
2 4 8
5 4 8
7 4 8
0 0 4
9 4 4
5 4 20
0 0 4
5 4 4
9 4 4
7 4 28
0 5 8
0 5 16
0 0 4
10 4 4
9 4 8
7 4 24
0 4 1
4 3 1
7 3 1
0 4 1
4 4 1
7 4 1
0 5 2
0 0 8
5 4 8
7 4 8
5 4 8
9 4 4
9 4 4
7 4 4
9 4 8
9 4 4
7 4 4
9 4 8
9 4 4
7 4 4
9 4 4
0 5 4
9 4 4
7 4 4
5 4 4
7 4 4
7 4 4
5 4 4
7 4 8
7 4 4
5 4 4
7 4 8
9 4 4
10 4 4
9 4 8
2 5 8
0 5 1
10 4 1
9 4 1
9 4 4
9 4 4
7 4 4
9 4 8
9 4 4
7 4 4
9 4 8
9 4 4
7 4 4
9 4 4
0 5 4
9 4 4
7 4 4
5 4 4
7 4 4
7 4 4
5 4 4
7 4 8
0 5 8
0 5 4
0 5 4
1 4 4
0 0 4
0 4 4
0 0 4
11 3 12
9 4 4
9 4 4
7 4 4
9 4 8
9 4 4
7 4 4
9 4 8
9 4 4
7 4 4
9 4 4
0 5 4
9 4 4
7 4 4
5 4 4
7 4 4
7 4 4
5 4 4
7 4 8
7 4 4
5 4 4
7 4 8
9 4 4
10 4 4
9 4 8
2 5 8
0 5 1
10 4 1
9 4 1
9 4 4
9 4 4
7 4 4
9 4 8
9 4 4
7 4 4
9 4 8
9 4 4
7 4 4
9 4 4
0 5 4
9 4 4
7 4 4
5 4 4
7 4 4
7 4 4
5 4 4
7 4 8
0 5 8
0 5 20
9 4 4
5 4 4
7 4 4
5 4 8
0 4 4
5 3 4
2 4 4
5 3 4
5 4 4
4 4 4
2 4 4
5 3 4
0 4 4
5 3 4
2 4 4
9 4 4
5 4 4
7 4 4
5 4 8
0 4 4
5 3 4
2 4 4
5 3 4
5 4 4
4 4 4
2 4 4
5 3 4
0 4 4
5 3 4
2 4 4
9 4 4
5 4 4
7 4 4
5 4 8
0 4 4
5 3 4
2 4 4
5 3 4
5 4 4
4 4 4
2 4 4
5 3 4
0 4 4
5 3 4
2 4 4
9 4 4
10 4 4
9 4 4
5 4 8
0 4 4
5 3 4
2 4 4
5 3 4
5 4 4
4 4 4
2 4 4
5 3 4
0 4 8
2 4 4
9 5 4
5 5 4
7 5 4
5 5 4
